Job started: Wed Mar  4 16:00:28 CET 2026
=== Starting Final MAS ===
Models loaded.
Advocate: GPT-4o-mini with QLoRA-informed domain prompt
Skeptic + Judge: GPT-4o-mini

Loading 100 high-risk claims from: /ceph/home/student.aau.dk/uo02pm/exam_m4/final_assignment/../assignment_2/hitl_green_100.csv
Loaded 100 claims.
Estimated cost: ~$0.30

[  1/100] doc_id=9507644 -> label=0, confidence=medium
[  2/100] doc_id=8684208 -> label=0, confidence=high
[  3/100] doc_id=9534814 -> label=1, confidence=high
[  4/100] doc_id=8792881 -> label=0, confidence=high
[  5/100] doc_id=8953531 -> label=0, confidence=high
[  6/100] doc_id=9096637 -> label=0, confidence=high
[  7/100] doc_id=9647788 -> label=0, confidence=high
[  8/100] doc_id=9853179 -> label=0, confidence=high
[  9/100] doc_id=9446341 -> label=1, confidence=high
[ 10/100] doc_id=8912651 -> label=0, confidence=high
[ 11/100] doc_id=9399272 -> label=0, confidence=medium
[ 12/100] doc_id=8396503 -> label=0, confidence=medium
[ 13/100] doc_id=9025316 -> label=0, confidence=medium
[ 14/100] doc_id=9050744 -> label=0, confidence=high
[ 15/100] doc_id=9200120 -> label=0, confidence=high
[ 16/100] doc_id=9284631 -> label=0, confidence=high
[ 17/100] doc_id=8589718 -> label=0, confidence=high
[ 18/100] doc_id=8650629 -> label=0, confidence=medium
[ 19/100] doc_id=9578600 -> label=0, confidence=high
[ 20/100] doc_id=9591444 -> label=1, confidence=high
[ 21/100] doc_id=9745308 -> label=1, confidence=high
[ 22/100] doc_id=9504969 -> label=0, confidence=medium
[ 23/100] doc_id=9627579 -> label=1, confidence=high
[ 24/100] doc_id=8945974 -> label=0, confidence=medium
[ 25/100] doc_id=9570633 -> label=0, confidence=medium
[ 26/100] doc_id=9657809 -> label=0, confidence=high
[ 27/100] doc_id=8729113 -> label=0, confidence=high
[ 28/100] doc_id=9175249 -> label=0, confidence=high
[ 29/100] doc_id=8395314 -> label=0, confidence=medium
[ 30/100] doc_id=8460525 -> label=0, confidence=high
[ 31/100] doc_id=9412986 -> label=1, confidence=high
[ 32/100] doc_id=9498800 -> label=1, confidence=high
[ 33/100] doc_id=8747264 -> label=0, confidence=high
[ 34/100] doc_id=9003068 -> label=0, confidence=high
[ 35/100] doc_id=9779617 -> label=1, confidence=high
[ 36/100] doc_id=8622011 -> label=0, confidence=medium
[ 37/100] doc_id=9719181 -> label=0, confidence=medium
[ 38/100] doc_id=8392378 -> label=0, confidence=high
[ 39/100] doc_id=8662016 -> label=0, confidence=high
[ 40/100] doc_id=8822910 -> label=0, confidence=medium
[ 41/100] doc_id=9200227 -> label=1, confidence=high
[ 42/100] doc_id=8816865 -> label=1, confidence=high
